symbol,exchange,symbol_on_exchange,base_asset,quote_asset,expire_at,has_buy_sell_data,is_perpetual,margined,oi_lq_vol_denominated_in,has_long_short_ratio_data,has_ohlcv_data
NKNUSDT.6,6,NKNUSDT,NKN,USDT,,True,True,STABLE,BASE_ASSET,True,True
ADAUSD.6,6,ADAUSD,ADA,USD,,True,True,COIN,QUOTE_ASSET,True,True
SCRTUSDT.6,6,SCRTUSDT,SCRT,USDT,,True,True,STABLE,BASE_ASSET,True,True
PHBUSDT.6,6,PHBUSDT,PHB,USDT,,True,True,STABLE,BASE_ASSET,True,True
MOVRUSDT_PERP.A,A,MOVRUSDT,MOVR,USDT,,True,True,STABLE,BASE_ASSET,True,True
RONINUSDT_PERP.A,A,RONINUSDT,RONIN,USDT,,True,True,STABLE,BASE_ASSET,True,True
DOGEUSDT.6,6,DOGEUSDT,DOGE,USDT,,True,True,STABLE,BASE_ASSET,True,True
OMGUSDT_PERP.A,A,OMGUSDT,OMG,USDT,,True,True,STABLE,BASE_ASSET,True,True
NEIROETHUSDT.6,6,NEIROETHUSDT,NEIRO,USDT,,True,True,STABLE,BASE_ASSET,True,True
BALUSDT_PERP.A,A,BALUSDT,BAL,USDT,,True,True,STABLE,BASE_ASSET,True,True
BTCUSDT.6,6,BTCUSDT,BTC,USDT,,True,True,STABLE,BASE_ASSET,True,True
BCHUSDT.6,6,BCHUSDT,BCH,USDT,,True,True,STABLE,BASE_ASSET,True,True
BTCUSD.6,6,BTCUSD,BTC,USD,,True,True,COIN,QUOTE_ASSET,True,True
ETHUSD.6,6,ETHUSD,ETH,USD,,True,True,COIN,QUOTE_ASSET,True,True
ETHUSDT.6,6,ETHUSDT,ETH,USDT,,True,True,STABLE,BASE_ASSET,True,True
RENUSDT_PERP.A,A,RENUSDT,REN,USDT,,True,True,STABLE,BASE_ASSET,True,True
RADUSDT.6,6,RADUSDT,RAD,USDT,,True,True,STABLE,BASE_ASSET,True,True
BATUSDT.6,6,BATUSDT,BAT,USDT,,True,True,STABLE,BASE_ASSET,True,True
STXUSDT_PERP.A,A,STXUSDT,STX,USDT,,True,True,STABLE,BASE_ASSET,True,True
CRVUSDT_PERP.A,A,CRVUSDT,CRV,USDT,,True,True,STABLE,BASE_ASSET,True,True
APEUSDT_PERP.A,A,APEUSDT,APE,USDT,,True,True,STABLE,BASE_ASSET,True,True
OMNIUSDT_PERP.A,A,OMNIUSDT,OMNI,USDT,,True,True,STABLE,BASE_ASSET,True,True
COMBOUSDT.6,6,COMBOUSDT,COMBO,USDT,,True,True,STABLE,BASE_ASSET,True,True
STORJUSDT_PERP.A,A,STORJUSDT,STORJ,USDT,,True,True,STABLE,BASE_ASSET,True,True
UMAUSDT.6,6,UMAUSDT,UMA,USDT,,True,True,STABLE,BASE_ASSET,True,True
VOXELUSDT_PERP.A,A,VOXELUSDT,VOXEL,USDT,,True,True,STABLE,BASE_ASSET,True,True
APEUSDT.6,6,APEUSDT,APE,USDT,,True,True,STABLE,BASE_ASSET,True,True
LTCUSD.6,6,LTCUSD,LTC,USD,,True,True,COIN,QUOTE_ASSET,True,True
MANAUSD.6,6,MANAUSD,MANA,USD,,True,True,COIN,QUOTE_ASSET,True,True
LQTYUSDT.6,6,LQTYUSDT,LQTY,USDT,,True,True,STABLE,BASE_ASSET,True,True
ZILUSDT.6,6,ZILUSDT,ZIL,USDT,,True,True,STABLE,BASE_ASSET,True,True
BTCUSDC_PERP.A,A,BTCUSDC,BTC,USDC,,True,True,STABLE,BASE_ASSET,True,True
MINAUSDT.6,6,MINAUSDT,MINA,USDT,,True,True,STABLE,BASE_ASSET,True,True
RLCUSDT_PERP.A,A,RLCUSDT,RLC,USDT,,True,True,STABLE,BASE_ASSET,True,True
SXPUSDT_PERP.A,A,SXPUSDT,SXP,USDT,,True,True,STABLE,BASE_ASSET,True,True
KAVAUSDT_PERP.A,A,KAVAUSDT,KAVA,USDT,,True,True,STABLE,BASE_ASSET,True,True
RENDERUSDT.6,6,RENDERUSDT,RENDER,USDT,,True,True,STABLE,BASE_ASSET,True,True
BRETTUSDT_PERP.A,A,BRETTUSDT,BRETT,USDT,,True,True,STABLE,BASE_ASSET,True,True
ALPACAUSDT_PERP.A,A,ALPACAUSDT,ALPACA,USDT,,True,True,STABLE,BASE_ASSET,True,True
